"Date","Price","Open","High","Low","Change %"
"05/08/2001","10.107","10.107","10.107","10.107","0.22%"
"05/05/2001","10.085","10.085","10.085","10.085","0.09%"
"05/04/2001","10.076","10.076","10.076","10.076","-0.27%"
"05/03/2001","10.103","10.103","10.103","10.103","-0.12%"
"05/02/2001","10.115","10.115","10.115","10.115","-0.10%"
"04/30/2001","10.125","10.125","10.125","10.125","-0.05%"
"04/28/2001","10.130","10.130","10.130","10.130","0.30%"
"04/27/2001","10.100","10.100","10.100","10.100","-0.59%"
"04/26/2001","10.160","10.160","10.160","10.160","-0.47%"
"04/25/2001","10.208","10.208","10.208","10.208","-0.04%"
"04/24/2001","10.212","10.212","10.212","10.212","-0.57%"
"04/23/2001","10.271","10.271","10.271","10.271","-0.21%"
"04/21/2001","10.293","10.293","10.293","10.293","-0.22%"
"04/20/2001","10.316","10.316","10.316","10.316","-0.15%"
"04/19/2001","10.331","10.331","10.331","10.331","0.00%"
"04/18/2001","10.331","10.331","10.331","10.331","-0.37%"
"04/17/2001","10.369","10.369","10.369","10.369","-0.14%"
"04/16/2001","10.384","10.384","10.384","10.384","0.24%"
"04/12/2001","10.359","10.359","10.359","10.359","0.12%"
"04/11/2001","10.347","10.347","10.347","10.347","0.29%"
"04/10/2001","10.317","10.317","10.317","10.317","-1.00%"
"04/09/2001","10.421","10.421","10.421","10.421","0.06%"
"04/07/2001","10.415","10.415","10.415","10.415","-0.22%"
"04/04/2001","10.438","10.438","10.438","10.438","0.29%"
"04/03/2001","10.408","10.408","10.408","10.408","0.73%"
"03/31/2001","10.333","10.333","10.333","10.333","-0.36%"
"03/30/2001","10.370","10.370","10.370","10.370","-1.15%"
"03/29/2001","10.491","10.491","10.491","10.491","-0.14%"
"03/28/2001","10.506","10.506","10.506","10.506","0.94%"
"03/27/2001","10.408","10.408","10.408","10.408","0.00%"
"03/24/2001","10.408","10.408","10.408","10.408","0.21%"
"03/23/2001","10.386","10.386","10.386","10.386","-0.51%"
"03/22/2001","10.439","10.439","10.439","10.439","0.22%"
"03/21/2001","10.416","10.416","10.416","10.416","0.00%"
"03/20/2001","10.416","10.416","10.416","10.416","-0.22%"
"03/19/2001","10.439","10.439","10.439","10.439","0.14%"
"03/17/2001","10.424","10.424","10.424","10.424","-0.15%"
"03/16/2001","10.440","10.440","10.440","10.440","0.16%"
"03/15/2001","10.423","10.423","10.423","10.423","0.06%"
"03/14/2001","10.417","10.417","10.417","10.417","0.66%"
"03/13/2001","10.349","10.349","10.349","10.349","1.47%"
"03/12/2001","10.199","10.199","10.199","10.199","0.07%"
"03/09/2001","10.192","10.192","10.192","10.192","0.36%"
"03/08/2001","10.155","10.155","10.155","10.155","0.22%"
"03/07/2001","10.133","10.133","10.133","10.133","-1.71%"
"03/05/2001","10.309","10.309","10.309","10.309","1.81%"
"03/03/2001","10.126","10.126","10.126","10.126","0.66%"
"03/02/2001","10.060","10.060","10.060","10.060","0.66%"
"03/01/2001","9.994","9.994","9.994","9.994","-0.83%"
"02/28/2001","10.078","10.078","10.078","10.078","-1.77%"
"02/27/2001","10.260","10.260","10.260","10.260","-0.49%"
"02/26/2001","10.311","10.311","10.311","10.311","-0.05%"
"02/24/2001","10.316","10.316","10.316","10.316","0.13%"
"02/23/2001","10.303","10.303","10.303","10.303","0.20%"
"02/22/2001","10.282","10.282","10.282","10.282","0.14%"
"02/20/2001","10.268","10.268","10.268","10.268","-0.04%"
"02/17/2001","10.272","10.272","10.272","10.272","-0.52%"
"02/16/2001","10.326","10.326","10.326","10.326","-1.67%"
"02/15/2001","10.501","10.501","10.501","10.501","1.47%"
"02/14/2001","10.349","10.349","10.349","10.349","0.27%"
"02/13/2001","10.321","10.321","10.321","10.321","0.09%"
"02/12/2001","10.312","10.312","10.312","10.312","0.00%"
"02/10/2001","10.312","10.312","10.312","10.312","0.14%"
"02/09/2001","10.298","10.298","10.298","10.298","-0.37%"
"02/08/2001","10.336","10.336","10.336","10.336","-0.94%"
"02/07/2001","10.434","10.434","10.434","10.434","-0.73%"
"02/06/2001","10.511","10.511","10.511","10.511","-0.55%"
"02/05/2001","10.569","10.569","10.569","10.569","1.07%"
"02/03/2001","10.457","10.457","10.457","10.457","-0.07%"
